price,bedrooms,bathrooms,sqft,status,address
4100000,3,2,1793,sold,"5 Harrison St #3, New York, NY 10013"
2940000,3,3,2600,sold,"55 Liberty St #27BC, Manhattan, NY 10005"
680000,1,1,481,sold,"120 Greenwich St #6B, New York, NY 10006"
1302000,0,1,868,sold,"275 Greenwich St #7LS, New York, NY 10007"
4346900,3,3,2201,sold,"200 Chambers St #27A, New York, NY 10007"
3300000,2,3,1750,sold,"101 Warren St #2040, New York, NY 10007"
1850000,0,1,1117,sold,"295 Greenwich St #4HN, New York, NY 10007"
3400000,3,2,2292,sold,"429 Greenwich St #2A, New York, NY 10013"
1675000,1,1,1035,sold,"250 West St #2K, New York, NY 10013"
2995000,2,2,1258,sold,"50 West St #52D, New York, NY 10006"
2515000,0,1,1807,sold,"18-20 Pine St #2106, New York, NY 10005"
1075000,1,1,918,sold,"88 Greenwich St #1506, New York, NY 10006"
3200000,2,3,1628,sold,"200 Chambers St #29F, New York, NY 10007"
5900000,0,1,2994,sold,"78 Laight St #5A, New York, NY 10013"
2800000,2,2,2467,sold,"114 Liberty St #2A, New York, NY 10006"
